Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,3.03,3.03,2.92,2.98,2.417746,350000.0
1996-01-02,2.98,3.02,2.95,2.98,2.413689,412000.0
1996-01-03,2.98,3.0,2.95,2.98,2.421803,284000.0
1996-01-04,2.98,2.98,2.94,2.96,2.405575,282000.0
1996-01-05,2.96,2.98,2.95,2.96,2.401519,189000.0
1996-01-08,2.96,2.95,2.91,2.92,2.373122,237000.0
1996-01-09,2.92,2.92,2.8,2.83,2.296047,483000.0
1996-01-10,2.83,2.86,2.81,2.84,2.30416,226000.0
1996-01-11,2.84,2.88,2.8,2.83,2.296047,318000.0
1996-01-12,2.83,2.84,2.8,2.82,2.291991,431000.0
1996-01-15,2.82,2.82,2.78,2.79,2.263594,181000.0
1996-01-16,2.79,2.8,2.74,2.74,2.223028,358000.0
1996-01-17,2.74,2.8,2.63,2.66,2.154066,429000.0
1996-01-18,2.66,2.66,2.6,2.64,2.141895,330000.0
1996-01-19,2.64,2.63,2.54,2.56,2.072933,426000.0
1996-01-22,2.56,2.59,2.52,2.54,2.06482,359000.0
1996-01-23,2.54,2.6,2.51,2.53,2.05265,399000.0
1996-01-24,2.53,2.53,2.45,2.46,1.999914,449000.0
1996-01-25,2.46,2.45,2.41,2.44,1.975574,390000.0
1996-01-26,2.44,2.44,2.44,2.44,1.975574,0.0
1996-01-29,2.44,2.5,2.4,2.48,2.01614,311000.0
1996-01-30,2.48,2.55,2.48,2.52,2.044537,452000.0
1996-01-31,2.52,2.64,2.55,2.59,2.10133,344000.0
1996-02-01,2.59,2.8,2.6,2.78,2.25548,424000.0
1996-02-02,2.78,3.0,2.8,2.92,2.365009,819000.0
1996-02-05,2.92,3.1,2.95,3.0,2.429915,906000.0
1996-02-06,3.0,3.05,2.95,2.98,2.413689,888000.0
1996-02-07,2.98,2.92,2.82,2.86,2.324444,586000.0
1996-02-08,2.86,3.15,2.88,3.04,2.470482,667000.0
1996-02-09,3.04,3.66,3.35,3.65,2.961333,1720000.0
1996-02-12,3.65,3.8,3.45,3.51,2.847748,2851000.0
1996-02-13,3.6,3.6,3.32,3.45,2.799068,1451000.0
1996-02-14,3.45,3.8,3.59,3.71,3.010012,2464000.0
1996-02-15,3.71,3.77,3.67,3.68,2.989729,1191000.0
1996-02-16,3.68,3.68,3.51,3.56,2.888314,1396000.0
1996-02-19,3.56,3.65,3.5,3.52,2.851804,1297000.0
1996-02-20,3.52,3.52,3.3,3.36,2.730105,1361000.0
1996-02-21,3.36,3.36,3.36,3.36,2.730105,0.0
1996-02-22,3.36,3.48,3.4,3.42,2.778785,848000.0
1996-02-23,3.42,3.5,3.4,3.42,2.774728,687000.0
1996-02-26,3.42,3.48,3.38,3.38,2.746332,647000.0
1996-02-27,3.39,3.42,3.3,3.4,2.754445,841000.0
1996-02-28,3.4,3.44,3.3,3.32,2.697652,422000.0
1996-02-29,3.3,3.3,3.0,3.06,2.486708,1275000.0
1996-03-01,3.06,3.15,3.0,3.11,2.523218,732000.0
1996-03-04,3.11,3.1,3.05,3.06,2.486708,647000.0
1996-03-05,3.06,3.06,3.06,3.06,2.486708,0.0
1996-03-06,3.06,3.15,3.08,3.1,2.515105,360000.0
1996-03-07,3.1,3.15,3.02,3.06,2.482652,486000.0
1996-03-08,3.06,3.07,3.0,3.05,2.474538,387000.0
1996-03-11,3.05,3.04,2.98,3.0,2.429915,324000.0
1996-03-12,3.0,3.0,2.93,2.96,2.397462,400000.0
1996-03-13,2.96,3.1,3.0,3.08,2.498878,486000.0
1996-03-14,3.08,3.15,3.04,3.07,2.490765,529000.0
1996-03-15,3.1,3.1,3.0,3.0,2.433972,807000.0
1996-03-18,3.0,3.02,2.93,2.98,2.421803,388000.0
1996-03-19,2.98,3.0,2.9,2.96,2.397462,617000.0
1996-03-20,2.96,2.96,2.96,2.96,2.397462,0.0
1996-03-21,2.96,3.02,2.95,3.0,2.438029,643000.0
1996-03-22,3.0,3.02,2.94,3.0,2.429915,194000.0
1996-03-25,3.0,3.05,2.98,3.02,2.454255,413000.0
1996-03-26,3.02,3.08,2.98,3.04,2.470482,643000.0
1996-03-27,3.04,3.11,3.03,3.1,2.515105,795000.0
1996-03-28,3.1,3.28,3.13,3.21,2.604351,1124000.0
